upi_id,customer_id,bank_name,account_type,date_added,status
joseph4837@upi,cust102377,sbi,current,17-07-2025,active
darlene9360@upi,cust101120,hdfc,savings,23-08-2024,active
dean8320@upi,cust104951,icici,credit_card_linked,23-05-2025,active
jerome8423@upi,cust106476,kotak,current,19-06-2021,active
karen3242@upi,cust101167,axis,savings,20-06-2024,active
jerry9883@upi,cust101918,axis,savings,01-08-2025,active
lisa1791@upi,cust101933,axis,savings,19-09-2024,active
stephen3742@upi,cust103385,kotak,current,10-01-2022,suspended
sabrina6797@upi,cust103531,kotak,credit_card_linked,02-04-2025,active
joseph3140@upi,cust103930,pnb,savings,06-07-2021,active
brenda1770@upi,cust107293,icici,savings,15-01-2024,active
mrs.4449@upi,cust109997,kotak,current,11-05-2024,active
tammy5187@upi,cust106605,kotak,current,23-06-2025,active
christopher4915@upi,cust104853,sbi,savings,16-04-2024,active
francisco1470@upi,cust109579,pnb,current,28-06-2024,active
lori4637@upi,cust104928,axis,credit_card_linked,05-07-2023,active
alexis7507@upi,cust109156,axis,current,04-04-2025,active
alexis6197@upi,cust102442,sbi,current,27-04-2022,active
brianna5091@upi,cust101384,axis,credit_card_linked,25-06-2025,active
steven8346@upi,cust107169,kotak,current,14-11-2024,active
jennifer2797@upi,cust106718,hdfc,current,03-12-2022,active
keith7268@upi,cust100031,sbi,credit_card_linked,28-11-2024,active
kevin2223@upi,cust105129,icici,savings,09-05-2024,active
james9118@upi,cust100281,sbi,credit_card_linked,11-09-2022,active
nicole3622@upi,cust101767,hdfc,current,06-02-2024,active
jacob6608@upi,cust103641,icici,current,07-07-2025,active
michelle6814@upi,cust103946,kotak,current,20-07-2025,active
ryan8192@upi,cust105879,hdfc,credit_card_linked,28-09-2023,active
warren6820@upi,cust103835,sbi,credit_card_linked,27-08-2021,active
jamie6435@upi,cust107143,sbi,current,28-12-2024,active
ryan4135@upi,cust102593,axis,credit_card_linked,13-04-2021,active
james5037@upi,cust100290,hdfc,savings,07-10-2024,active
brenda7634@upi,cust100259,pnb,current,31-03-2023,suspended
kimberly1052@upi,cust109371,hdfc,savings,19-07-2025,active
lisa8260@upi,cust100240,pnb,savings,24-05-2024,active
jonathan4913@upi,cust101130,pnb,credit_card_linked,02-12-2024,active
terry3130@upi,cust102842,axis,savings,10-04-2023,active
jennifer2213@upi,cust100926,kotak,current,28-01-2024,active
michael4713@upi,cust107040,hdfc,savings,18-03-2022,active
david3597@upi,cust101901,hdfc,current,20-06-2025,active
cynthia3591@upi,cust107718,sbi,credit_card_linked,10-12-2023,active
maria5404@upi,cust107096,hdfc,credit_card_linked,13-08-2023,active
amanda9729@upi,cust106816,sbi,savings,24-03-2022,active
mia5926@upi,cust104817,pnb,savings,01-11-2024,active
maria2573@upi,cust108676,sbi,credit_card_linked,16-12-2024,active
ashley1906@upi,cust100131,sbi,current,28-11-2022,active
april5639@upi,cust107924,kotak,current,31-05-2024,blocked
sherry4305@upi,cust109934,axis,credit_card_linked,08-02-2024,active
shelley2250@upi,cust101819,pnb,savings,22-07-2025,active
amber8426@upi,cust102694,pnb,credit_card_linked,01-01-2023,active
ashley3971@upi,cust101722,axis,credit_card_linked,15-01-2024,active
gregory2983@upi,cust104175,pnb,current,31-08-2021,active
bridget6639@upi,cust109499,axis,savings,03-10-2022,active
mrs.1963@upi,cust109224,kotak,current,30-12-2024,blocked
robert9231@upi,cust104897,icici,savings,08-01-2023,active
jacqueline2141@upi,cust107222,sbi,savings,28-03-2025,active
brett1705@upi,cust106024,icici,savings,16-07-2025,active
stacy5537@upi,cust103333,pnb,savings,06-03-2022,active
keith4767@upi,cust100031,icici,current,04-04-2024,active
luis3236@upi,cust107698,axis,credit_card_linked,02-05-2024,active
daniel6417@upi,cust106441,axis,savings,14-04-2024,active
michelle2626@upi,cust107223,hdfc,savings,17-08-2022,active
hannah9596@upi,cust103906,pnb,current,20-03-2025,active
brandon6078@upi,cust102485,axis,savings,24-09-2024,active
james8149@upi,cust102536,axis,credit_card_linked,04-06-2025,active
maria6225@upi,cust102930,hdfc,credit_card_linked,01-05-2025,active
craig2518@upi,cust104840,axis,current,30-03-2025,active
george4150@upi,cust100065,hdfc,current,27-08-2023,active
michael1192@upi,cust109844,kotak,credit_card_linked,03-03-2024,active
christine9385@upi,cust103638,axis,current,22-08-2023,active
cheryl5686@upi,cust104377,sbi,credit_card_linked,30-01-2024,active
justin2553@upi,cust108478,hdfc,savings,04-01-2023,active
beverly6533@upi,cust103651,pnb,savings,18-05-2025,active
mark8295@upi,cust106806,hdfc,savings,22-12-2024,active
vincent6746@upi,cust108840,kotak,savings,02-08-2025,active
ray1548@upi,cust104964,hdfc,current,07-03-2025,active
nicholas6970@upi,cust103041,icici,current,14-07-2025,active
elijah7647@upi,cust100463,pnb,credit_card_linked,09-02-2023,active
steven5032@upi,cust100407,kotak,savings,22-07-2025,active
jonathan7242@upi,cust106340,hdfc,credit_card_linked,12-06-2025,suspended
mary1212@upi,cust107319,hdfc,savings,26-06-2024,active
gregory1398@upi,cust104952,axis,credit_card_linked,26-12-2024,active
andrea2210@upi,cust100709,kotak,current,27-10-2024,active
mike7608@upi,cust106723,axis,credit_card_linked,03-04-2024,active
thomas4612@upi,cust104322,icici,credit_card_linked,12-08-2023,active
sherri4455@upi,cust100805,sbi,current,28-04-2024,active
john6877@upi,cust101773,hdfc,credit_card_linked,13-01-2024,active
randy7985@upi,cust109389,axis,current,04-04-2025,active
kerry3272@upi,cust105287,sbi,credit_card_linked,06-04-2025,blocked
carl7330@upi,cust101273,axis,current,24-05-2025,active
christopher2535@upi,cust104905,kotak,savings,02-10-2023,active
samuel2595@upi,cust107612,sbi,credit_card_linked,02-12-2024,active
teresa3194@upi,cust107005,sbi,credit_card_linked,11-10-2023,active
amanda5500@upi,cust106535,hdfc,credit_card_linked,02-04-2024,active
john5834@upi,cust104831,pnb,savings,09-07-2025,active
michele4162@upi,cust106844,kotak,credit_card_linked,24-06-2025,active
mr.7424@upi,cust102338,sbi,current,09-06-2024,active
jessica1945@upi,cust105381,axis,current,13-09-2023,active
timothy1126@upi,cust106077,sbi,credit_card_linked,27-07-2024,active
anthony3024@upi,cust103078,hdfc,current,08-10-2021,active
william5545@upi,cust101362,hdfc,credit_card_linked,28-03-2025,active
brian2068@upi,cust102282,kotak,credit_card_linked,28-03-2024,active
stephanie7776@upi,cust107084,sbi,credit_card_linked,14-01-2023,active
claudia1706@upi,cust107449,sbi,savings,04-04-2025,suspended
jason6693@upi,cust108183,axis,current,19-07-2025,active
dr.1177@upi,cust107050,sbi,credit_card_linked,17-06-2023,active
brian6811@upi,cust100942,kotak,savings,30-05-2025,active
lindsey2898@upi,cust107174,sbi,savings,17-08-2024,suspended
chris4482@upi,cust106623,kotak,current,19-04-2025,active
laura4443@upi,cust100871,icici,credit_card_linked,12-07-2025,suspended
ryan2091@upi,cust104114,sbi,savings,07-09-2023,active
cindy4216@upi,cust105913,pnb,current,27-05-2025,active
blake4746@upi,cust107948,pnb,credit_card_linked,24-03-2025,active
logan3144@upi,cust106653,icici,current,18-03-2025,active
stephanie9834@upi,cust106862,hdfc,current,22-05-2025,active
ryan5086@upi,cust100834,hdfc,credit_card_linked,09-02-2024,active
amber5834@upi,cust100833,kotak,credit_card_linked,24-11-2024,active
sandra8178@upi,cust103056,axis,savings,29-06-2023,active
keith3863@upi,cust105514,axis,current,17-06-2025,active
joseph8583@upi,cust107502,icici,savings,28-11-2024,active
james3247@upi,cust103483,kotak,savings,28-01-2023,blocked
laurie9271@upi,cust106894,icici,current,30-08-2023,active
jennifer3560@upi,cust104330,axis,savings,08-02-2024,active
cynthia3008@upi,cust107411,sbi,credit_card_linked,04-09-2023,active
hunter4060@upi,cust106302,pnb,savings,07-08-2024,active
andrew6258@upi,cust107747,icici,current,13-02-2025,active
theresa7108@upi,cust109539,kotak,credit_card_linked,14-06-2023,active
paul4277@upi,cust102013,sbi,savings,03-08-2025,active
vanessa9570@upi,cust106644,axis,savings,05-05-2025,active
claudia9312@upi,cust104441,sbi,credit_card_linked,08-08-2024,active
cindy3644@upi,cust109695,pnb,current,26-06-2024,active
stephanie4859@upi,cust105323,hdfc,savings,28-06-2023,active
leslie7682@upi,cust100139,sbi,current,09-02-2023,active
catherine4267@upi,cust100232,icici,current,25-02-2025,active
joseph8488@upi,cust102914,axis,current,30-03-2025,active
destiny5198@upi,cust102668,icici,current,23-05-2024,blocked
michael7795@upi,cust105592,icici,current,20-01-2025,active
kevin4638@upi,cust102007,hdfc,credit_card_linked,24-06-2024,suspended
michael6653@upi,cust102097,pnb,current,28-06-2024,active
gloria2918@upi,cust101221,kotak,credit_card_linked,30-01-2025,active
evelyn7796@upi,cust106998,axis,credit_card_linked,23-10-2023,active
carl3453@upi,cust105181,sbi,savings,18-03-2025,active
mary6418@upi,cust106803,axis,credit_card_linked,04-07-2024,active
mr.1812@upi,cust107793,hdfc,credit_card_linked,05-08-2025,active
david8982@upi,cust107093,hdfc,current,01-12-2023,active
steven1927@upi,cust109919,axis,current,29-06-2025,active
jennifer1596@upi,cust105600,icici,savings,06-07-2025,active
jennifer4895@upi,cust102912,kotak,savings,09-07-2024,active
michael3159@upi,cust106324,icici,current,25-09-2022,active
jimmy9385@upi,cust100482,pnb,current,30-05-2023,active
ricardo3773@upi,cust107443,pnb,credit_card_linked,04-12-2024,active
patricia1733@upi,cust106814,icici,credit_card_linked,07-10-2023,active
frank8281@upi,cust100870,kotak,credit_card_linked,28-02-2025,active
kimberly8590@upi,cust100621,sbi,current,22-03-2025,active
cindy8446@upi,cust104632,axis,savings,23-09-2024,active
cameron6160@upi,cust109251,pnb,savings,26-06-2025,active
joshua3293@upi,cust106948,sbi,credit_card_linked,15-02-2025,active
jessica2450@upi,cust102799,sbi,credit_card_linked,16-08-2024,active
jeffery4732@upi,cust100901,sbi,current,01-08-2025,active
kevin9252@upi,cust107543,kotak,savings,10-03-2025,active
jason1226@upi,cust102654,icici,credit_card_linked,27-02-2023,active
brent7076@upi,cust108929,hdfc,current,29-06-2025,active
hannah8864@upi,cust106771,pnb,credit_card_linked,28-12-2022,active
cameron1382@upi,cust100726,axis,current,04-08-2025,active
barbara2683@upi,cust101683,pnb,savings,16-01-2024,active
amanda1747@upi,cust108657,axis,current,07-04-2022,active
angela7559@upi,cust103264,icici,savings,29-04-2022,active
mary2994@upi,cust100620,kotak,credit_card_linked,24-06-2025,active
mrs.5858@upi,cust102292,sbi,current,04-08-2025,active
gabriela4396@upi,cust106202,icici,credit_card_linked,26-08-2021,active
paula6674@upi,cust109376,pnb,current,09-04-2024,active
erika9509@upi,cust100226,icici,current,15-03-2023,active
elizabeth5648@upi,cust100560,kotak,credit_card_linked,08-06-2024,active
karen6201@upi,cust108602,pnb,savings,22-03-2025,active
susan2185@upi,cust106205,pnb,credit_card_linked,07-11-2023,active
zachary7358@upi,cust101349,pnb,credit_card_linked,07-02-2025,active
dr.5431@upi,cust100307,pnb,savings,16-07-2023,active
colton8307@upi,cust108947,hdfc,credit_card_linked,14-04-2024,active
emily9877@upi,cust107407,icici,savings,04-08-2025,active
crystal4706@upi,cust108485,kotak,savings,13-08-2024,active
kyle3609@upi,cust104884,axis,savings,11-04-2025,active
brianna7190@upi,cust101904,icici,savings,04-04-2021,active
albert3658@upi,cust104640,axis,savings,28-09-2024,active
linda6980@upi,cust107048,sbi,current,14-05-2025,active
michele1534@upi,cust104548,hdfc,current,11-08-2021,active
william8998@upi,cust102162,sbi,credit_card_linked,05-04-2022,active
natalie7362@upi,cust101684,axis,savings,19-07-2025,active
jade3222@upi,cust107732,hdfc,savings,15-09-2024,active
gregory7012@upi,cust102290,icici,savings,01-10-2024,active
theresa3589@upi,cust100696,kotak,current,14-05-2025,active
gregory6907@upi,cust102107,axis,credit_card_linked,02-06-2024,active
katrina6737@upi,cust103204,icici,current,19-07-2025,active
william7862@upi,cust102086,axis,current,18-01-2025,blocked
nicholas1419@upi,cust106338,kotak,savings,12-03-2021,active
edward9999@upi,cust108154,kotak,savings,27-05-2025,active
daniel5557@upi,cust104398,pnb,current,24-01-2022,active
jane9931@upi,cust102572,kotak,savings,19-07-2023,active
kelli8188@upi,cust109114,hdfc,current,22-11-2021,active
richard7140@upi,cust101143,hdfc,savings,31-01-2025,active
john3258@upi,cust104719,kotak,credit_card_linked,06-06-2022,active
janet1834@upi,cust100613,pnb,credit_card_linked,26-04-2024,active
miranda7342@upi,cust109751,sbi,current,19-03-2024,active
cynthia7179@upi,cust108208,sbi,current,11-05-2025,active
thomas5185@upi,cust103752,hdfc,savings,17-08-2022,active
steven5452@upi,cust105465,kotak,savings,16-11-2024,active
adrian8230@upi,cust104386,sbi,savings,03-02-2025,active
kayla7458@upi,cust108861,hdfc,savings,04-12-2024,active
david2226@upi,cust102634,axis,credit_card_linked,23-03-2023,active
dawn6073@upi,cust105812,icici,savings,05-08-2025,active
wendy7774@upi,cust106009,kotak,current,09-08-2024,suspended
pamela1045@upi,cust107012,hdfc,savings,15-05-2025,active
wendy4843@upi,cust104096,sbi,savings,21-09-2023,active
tracie8291@upi,cust102862,kotak,savings,21-05-2025,active
briana9267@upi,cust100068,icici,savings,17-04-2025,active
aaron1337@upi,cust106141,kotak,current,28-03-2025,active
rachel1419@upi,cust107572,hdfc,current,28-07-2025,active
patricia5568@upi,cust105649,hdfc,credit_card_linked,28-12-2023,active
harry7131@upi,cust107115,hdfc,current,26-01-2025,active
michael1612@upi,cust101884,icici,savings,22-04-2025,active
yvonne9061@upi,cust103519,hdfc,credit_card_linked,05-10-2024,active
michelle6214@upi,cust102952,axis,current,25-04-2021,active
theresa6822@upi,cust100239,kotak,savings,28-06-2025,active
jessica4310@upi,cust101894,axis,savings,28-12-2022,active
keith1154@upi,cust106736,hdfc,current,06-04-2024,suspended
jennifer7917@upi,cust108394,pnb,current,03-08-2025,blocked
barbara8561@upi,cust108160,sbi,current,18-06-2024,active
allison9010@upi,cust105366,sbi,savings,03-04-2024,active
mario2023@upi,cust107176,sbi,savings,24-05-2025,active
barbara6778@upi,cust108925,axis,savings,17-12-2021,blocked
samantha2438@upi,cust104543,hdfc,current,09-02-2023,active
tiffany6070@upi,cust104313,axis,credit_card_linked,14-12-2023,active
casey6187@upi,cust107127,hdfc,credit_card_linked,02-10-2022,active
lisa4198@upi,cust100749,axis,current,12-05-2025,active
vincent8178@upi,cust105524,kotak,current,17-04-2022,active
mary7045@upi,cust101900,pnb,credit_card_linked,03-06-2025,active
emily5221@upi,cust109902,kotak,current,22-03-2023,active
jennifer4289@upi,cust102444,pnb,current,15-04-2025,active
charles5242@upi,cust102685,hdfc,savings,28-02-2024,active
sharon7195@upi,cust101517,pnb,current,10-01-2024,suspended
jacqueline1256@upi,cust100860,hdfc,credit_card_linked,28-08-2022,active
beth1800@upi,cust101084,axis,savings,27-04-2025,active
frank7477@upi,cust103517,icici,savings,28-08-2023,active
anthony5213@upi,cust109952,hdfc,savings,01-09-2023,active
seth3997@upi,cust102605,icici,current,09-04-2023,active
caleb4416@upi,cust108563,pnb,current,04-08-2024,active
deborah4003@upi,cust109641,sbi,credit_card_linked,02-08-2025,active
pamela8540@upi,cust105912,icici,credit_card_linked,11-06-2025,active
mr.7691@upi,cust105334,pnb,credit_card_linked,01-04-2025,suspended
mark8817@upi,cust102330,sbi,savings,22-03-2025,active
emma1773@upi,cust102539,sbi,credit_card_linked,01-12-2022,active
stephen3850@upi,cust109789,sbi,credit_card_linked,29-09-2024,active
frank5758@upi,cust107250,pnb,savings,15-12-2024,active
samuel8031@upi,cust107671,icici,savings,30-01-2023,active
crystal2675@upi,cust108581,sbi,savings,08-05-2025,active
brendan4666@upi,cust102938,sbi,current,12-09-2021,active
erin7165@upi,cust107589,hdfc,current,09-03-2025,active
shane9779@upi,cust103783,axis,credit_card_linked,07-12-2023,active
andrea9611@upi,cust106456,pnb,current,05-12-2024,active
roy4193@upi,cust106138,sbi,current,20-02-2025,suspended
christine1957@upi,cust107539,kotak,credit_card_linked,20-06-2025,active
michael5804@upi,cust102463,sbi,current,24-11-2024,active
julie5273@upi,cust102538,sbi,savings,31-07-2024,active
mario2904@upi,cust101831,sbi,credit_card_linked,30-04-2023,active
mark3405@upi,cust107498,sbi,savings,23-11-2021,suspended
christopher4407@upi,cust100036,axis,savings,17-09-2024,active
jay1709@upi,cust108464,pnb,savings,25-06-2025,active
arthur9330@upi,cust105351,kotak,credit_card_linked,01-01-2022,active
roberta4681@upi,cust107233,icici,credit_card_linked,12-08-2024,active
isaac4117@upi,cust101180,kotak,savings,29-04-2025,active
diana8885@upi,cust108729,axis,savings,01-06-2025,active
jesse3596@upi,cust101913,axis,savings,06-03-2023,active
kim2527@upi,cust104823,pnb,credit_card_linked,25-05-2024,active
stephanie9199@upi,cust104152,kotak,current,19-06-2025,active
shannon1805@upi,cust107164,sbi,savings,31-03-2024,suspended
victoria5300@upi,cust100127,kotak,credit_card_linked,01-08-2023,active
tara6441@upi,cust106321,hdfc,savings,02-02-2025,active
amy2448@upi,cust102433,axis,current,08-02-2022,active
andrew2694@upi,cust105016,axis,current,30-04-2024,active
michael6721@upi,cust106659,icici,current,11-07-2023,active
shawn8485@upi,cust106398,kotak,credit_card_linked,21-03-2024,active
matthew5129@upi,cust109330,sbi,credit_card_linked,14-01-2024,active
diana1563@upi,cust105058,axis,current,01-05-2024,active
evan2879@upi,cust104325,icici,current,14-05-2025,active
kathleen1146@upi,cust105372,icici,credit_card_linked,09-12-2023,active
darlene9186@upi,cust101120,pnb,savings,24-10-2024,active
mrs.1598@upi,cust102900,kotak,credit_card_linked,30-09-2024,active
chad9677@upi,cust105331,pnb,savings,17-01-2023,active
hannah7820@upi,cust105966,pnb,current,30-09-2024,active
charles5985@upi,cust102814,hdfc,current,04-10-2024,active
gloria4891@upi,cust101221,kotak,current,21-05-2025,active
adam8068@upi,cust108979,pnb,current,28-07-2025,active
cindy7827@upi,cust100298,pnb,current,22-09-2023,active
christopher6441@upi,cust101476,sbi,credit_card_linked,11-07-2025,suspended
mrs.7319@upi,cust109893,kotak,current,29-11-2023,suspended
kevin5099@upi,cust101557,sbi,credit_card_linked,20-11-2023,active
jessica8701@upi,cust106812,axis,credit_card_linked,01-06-2024,active
christopher4132@upi,cust102608,hdfc,savings,26-12-2023,active
emily8624@upi,cust103318,sbi,credit_card_linked,06-04-2023,active
adam8336@upi,cust105292,hdfc,current,04-08-2025,active
sarah7228@upi,cust102887,sbi,current,13-05-2025,active
victoria7329@upi,cust109019,hdfc,savings,23-01-2025,active
brandon7266@upi,cust100413,kotak,current,30-11-2023,active
anita9708@upi,cust104867,icici,current,05-09-2022,active
jennifer1451@upi,cust103805,kotak,credit_card_linked,04-07-2024,blocked
rachel3118@upi,cust104808,sbi,savings,28-02-2024,active
jimmy6523@upi,cust100534,pnb,savings,01-02-2025,active
jennifer6650@upi,cust107879,pnb,credit_card_linked,08-08-2024,active
patrick5507@upi,cust105839,icici,savings,26-01-2023,active
elizabeth1135@upi,cust109566,icici,savings,10-03-2024,active
maria2353@upi,cust109203,hdfc,current,19-12-2024,active
jason9594@upi,cust102017,sbi,current,09-10-2022,active
daniel2066@upi,cust101153,kotak,credit_card_linked,03-10-2024,active
steve8106@upi,cust109764,sbi,savings,26-08-2023,active
kristine2257@upi,cust101627,kotak,current,07-10-2024,suspended
terry6121@upi,cust109943,hdfc,current,05-05-2025,active
kenneth2744@upi,cust100275,kotak,savings,09-10-2022,active
alex3151@upi,cust108429,sbi,savings,09-07-2025,active
michael1089@upi,cust104720,axis,savings,12-09-2023,active
linda6589@upi,cust103085,axis,current,08-06-2024,active
jessica3549@upi,cust100318,kotak,savings,11-06-2024,active
christopher2417@upi,cust106606,kotak,current,27-06-2024,active
andrew3942@upi,cust109654,pnb,current,26-10-2024,active
anita4841@upi,cust105162,kotak,credit_card_linked,28-12-2022,active
lisa4070@upi,cust108665,icici,current,03-08-2025,active
kristen8215@upi,cust103003,sbi,savings,24-04-2022,suspended
eric2040@upi,cust106799,pnb,savings,15-11-2023,blocked
melissa5149@upi,cust102403,hdfc,savings,01-03-2025,active
dominique4217@upi,cust104490,sbi,current,15-11-2022,active
melissa5226@upi,cust101138,axis,savings,12-08-2024,active
michael5151@upi,cust102267,kotak,savings,01-12-2024,active
timothy5280@upi,cust109079,pnb,credit_card_linked,02-09-2024,active
emily8123@upi,cust107407,axis,current,18-03-2023,active
kayla9906@upi,cust109036,icici,savings,13-06-2022,active
nathaniel4273@upi,cust102111,icici,credit_card_linked,26-11-2024,active
brian1360@upi,cust104799,pnb,savings,04-11-2023,active
joe3644@upi,cust108883,axis,current,28-12-2024,active
leah9216@upi,cust107778,sbi,credit_card_linked,23-12-2024,active
robert2394@upi,cust104478,pnb,current,01-07-2025,active
garrett2935@upi,cust100310,sbi,current,04-05-2025,active
brian9559@upi,cust108444,hdfc,savings,23-08-2024,active
jacob6982@upi,cust103963,sbi,savings,16-05-2025,active
mark1762@upi,cust109599,pnb,savings,11-06-2022,active
allison8224@upi,cust102102,hdfc,credit_card_linked,27-02-2025,active
anthony9181@upi,cust106463,sbi,current,02-12-2024,suspended
jeremy9447@upi,cust102202,sbi,credit_card_linked,20-07-2025,active
william4114@upi,cust106461,kotak,savings,19-04-2025,active
eric1418@upi,cust108685,pnb,current,05-07-2023,active
lori5673@upi,cust109534,kotak,current,10-02-2022,active
michael8888@upi,cust105971,pnb,current,07-02-2024,active
edward5468@upi,cust102567,hdfc,savings,09-04-2025,active
anthony3998@upi,cust105572,sbi,savings,24-01-2024,active
brandi8812@upi,cust109626,axis,savings,02-06-2025,active
jessica9688@upi,cust107538,axis,current,23-05-2024,active
patrick4009@upi,cust102304,axis,credit_card_linked,27-04-2025,active
rita8823@upi,cust103410,sbi,savings,13-03-2024,active
charles7583@upi,cust100228,icici,current,31-01-2025,active
joshua5572@upi,cust102596,sbi,current,06-07-2024,active
darrell3507@upi,cust104771,icici,savings,18-06-2025,active
mary6268@upi,cust106083,axis,savings,30-01-2025,active
lisa8558@upi,cust100749,sbi,credit_card_linked,12-07-2025,active
donna7396@upi,cust108789,icici,current,12-07-2025,active
jessica9760@upi,cust100977,pnb,savings,03-08-2025,active
austin3551@upi,cust106745,kotak,current,02-06-2025,active
thomas3029@upi,cust108499,pnb,credit_card_linked,05-04-2023,active
amber5457@upi,cust102614,pnb,credit_card_linked,05-06-2024,active
christopher9695@upi,cust107282,kotak,savings,15-05-2023,active
matthew4653@upi,cust104172,sbi,savings,30-07-2024,active
benjamin1705@upi,cust105388,axis,credit_card_linked,03-08-2025,active
ricky8784@upi,cust105920,sbi,current,14-09-2023,active
leon1949@upi,cust101852,pnb,savings,12-10-2024,active
taylor6876@upi,cust102624,icici,current,15-07-2025,blocked
travis4752@upi,cust105740,kotak,savings,25-12-2024,active
shannon1781@upi,cust100634,icici,current,10-12-2024,active
kurt1029@upi,cust104671,icici,savings,07-05-2025,active
darren6107@upi,cust108279,icici,savings,23-07-2024,active
cynthia4987@upi,cust108558,pnb,credit_card_linked,12-04-2023,active
ruben9839@upi,cust106510,kotak,current,10-09-2022,active
michael6252@upi,cust107602,kotak,savings,24-11-2024,active
patricia2815@upi,cust109256,pnb,current,16-12-2023,active
robin2063@upi,cust105958,icici,savings,28-05-2025,active
mrs.9681@upi,cust104063,kotak,credit_card_linked,24-04-2025,blocked
brianna2941@upi,cust102692,icici,credit_card_linked,28-03-2024,active
derrick8412@upi,cust106389,kotak,savings,18-11-2021,active
frank9407@upi,cust100870,kotak,savings,13-05-2023,active
connor5570@upi,cust100675,kotak,savings,11-05-2024,active
ashley4102@upi,cust102882,pnb,credit_card_linked,01-04-2024,active
abigail7624@upi,cust104789,pnb,savings,19-10-2022,active
kenneth9465@upi,cust109873,hdfc,current,04-10-2024,active
helen4770@upi,cust108074,sbi,savings,26-01-2025,active
ms.3339@upi,cust102305,icici,current,17-12-2022,active
zachary7039@upi,cust109690,pnb,credit_card_linked,17-03-2022,active
